DEPADM,DepBol,NomeDepBol,codRMet,CODMUN,MUN,SERIE_ANO,cod_per,periodo,co_comp,ds_comp,medprof
1,1,Rede Estadual,5,673,TABAPUA,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,265.9
1,1,Rede Estadual,5,673,TABAPUA,EM-3ª série,9,GERAL,2,MATEMÁTICA,271.2
1,1,Rede Estadual,5,674,TABATINGA,5º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,187.7
1,1,Rede Estadual,5,674,TABATINGA,5º Ano EF,9,GERAL,2,MATEMÁTICA,214.5
1,1,Rede Estadual,5,674,TABATINGA,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,242.4
1,1,Rede Estadual,5,674,TABATINGA,9º Ano EF,9,GERAL,2,MATEMÁTICA,261.0
1,1,Rede Estadual,5,674,TABATINGA,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,242.3
1,1,Rede Estadual,5,674,TABATINGA,EM-3ª série,9,GERAL,2,MATEMÁTICA,252.7
1,1,Rede Estadual,1,675,TABOAO DA SERRA,5º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,206.7
1,1,Rede Estadual,1,675,TABOAO DA SERRA,5º Ano EF,9,GERAL,2,MATEMÁTICA,218.1
1,1,Rede Estadual,1,675,TABOAO DA SERRA,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,245.8
1,1,Rede Estadual,1,675,TABOAO DA SERRA,9º Ano EF,9,GERAL,2,MATEMÁTICA,247.7
1,1,Rede Estadual,1,675,TABOAO DA SERRA,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,267.6
1,1,Rede Estadual,1,675,TABOAO DA SERRA,EM-3ª série,9,GERAL,2,MATEMÁTICA,265.0
1,1,Rede Estadual,5,676,TACIBA,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,234.7
1,1,Rede Estadual,5,676,TACIBA,9º Ano EF,9,GERAL,2,MATEMÁTICA,247.0
1,1,Rede Estadual,5,676,TACIBA,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,249.5
1,1,Rede Estadual,5,676,TACIBA,EM-3ª série,9,GERAL,2,MATEMÁTICA,263.6
1,1,Rede Estadual,5,677,TAGUAI,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,259.2
1,1,Rede Estadual,5,677,TAGUAI,9º Ano EF,9,GERAL,2,MATEMÁTICA,278.3
1,1,Rede Estadual,5,677,TAGUAI,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,267.8
1,1,Rede Estadual,5,677,TAGUAI,EM-3ª série,9,GERAL,2,MATEMÁTICA,276.4
1,1,Rede Estadual,5,678,TAIACU,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,238.4
1,1,Rede Estadual,5,678,TAIACU,9º Ano EF,9,GERAL,2,MATEMÁTICA,235.9
1,1,Rede Estadual,5,678,TAIACU,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,260.4
1,1,Rede Estadual,5,678,TAIACU,EM-3ª série,9,GERAL,2,MATEMÁTICA,254.5
1,1,Rede Estadual,6,679,TAIUVA,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,238.2
1,1,Rede Estadual,6,679,TAIUVA,9º Ano EF,9,GERAL,2,MATEMÁTICA,254.2
1,1,Rede Estadual,6,679,TAIUVA,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,262.6
1,1,Rede Estadual,6,679,TAIUVA,EM-3ª série,9,GERAL,2,MATEMÁTICA,275.8
1,1,Rede Estadual,6,680,TAMBAU,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,224.7
1,1,Rede Estadual,6,680,TAMBAU,9º Ano EF,9,GERAL,2,MATEMÁTICA,227.2
1,1,Rede Estadual,6,680,TAMBAU,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,253.8
1,1,Rede Estadual,6,680,TAMBAU,EM-3ª série,9,GERAL,2,MATEMÁTICA,254.0
1,1,Rede Estadual,5,681,TANABI,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,245.9
1,1,Rede Estadual,5,681,TANABI,9º Ano EF,9,GERAL,2,MATEMÁTICA,256.9
1,1,Rede Estadual,5,681,TANABI,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,265.1
1,1,Rede Estadual,5,681,TANABI,EM-3ª série,9,GERAL,2,MATEMÁTICA,262.7
1,1,Rede Estadual,7,682,TAPIRAI,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,235.8
1,1,Rede Estadual,7,682,TAPIRAI,9º Ano EF,9,GERAL,2,MATEMÁTICA,244.5
1,1,Rede Estadual,7,682,TAPIRAI,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,257.0
1,1,Rede Estadual,7,682,TAPIRAI,EM-3ª série,9,GERAL,2,MATEMÁTICA,258.6
1,1,Rede Estadual,5,683,TAPIRATIBA,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,185.6
1,1,Rede Estadual,5,683,TAPIRATIBA,9º Ano EF,9,GERAL,2,MATEMÁTICA,197.2
1,1,Rede Estadual,5,683,TAPIRATIBA,EM-3ª série,9,GERAL,1,LÍNGUA PORTUGUESA,246.3
1,1,Rede Estadual,5,683,TAPIRATIBA,EM-3ª série,9,GERAL,2,MATEMÁTICA,242.4
1,1,Rede Estadual,5,684,TAQUARITINGA,9º Ano EF,9,GERAL,1,LÍNGUA PORTUGUESA,233.2
1,1,Rede Estadual,5,684,TAQUARITINGA,9º Ano EF,9,GERAL,2,MATEMÁTICA,226.7
