DEPADM;DepBol;NomeDepBol;CodRMet;codmun;mun;SERIE_ANO;cod_per;periodo;co_comp;ds_comp;medprof
1;1;Rede Estadual;5;503;PARAGUACU PAULISTA;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;279,5
1;1;Rede Estadual;5;503;PARAGUACU PAULISTA;9º Ano EF;9;GERAL;2;MATEMATICA;269,3
1;1;Rede Estadual;5;503;PARAGUACU PAULISTA;EM-3ª série;9;GERAL;2;MATEMATICA;285,7
1;1;Rede Estadual;4;504;PARAIBUNA;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;254,6
1;1;Rede Estadual;4;504;PARAIBUNA;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;278,9
1;1;Rede Estadual;4;504;PARAIBUNA;9º Ano EF;9;GERAL;2;MATEMATICA;275
1;1;Rede Estadual;4;504;PARAIBUNA;EM-3ª série;9;GERAL;2;MATEMATICA;293,3
1;1;Rede Estadual;5;505;PARAISO;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;280
1;1;Rede Estadual;5;505;PARAISO;EM-3ª série;9;GERAL;2;MATEMATICA;291,6
1;1;Rede Estadual;5;506;PARANAPANEMA;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;272,7
1;1;Rede Estadual;5;506;PARANAPANEMA;EM-3ª série;9;GERAL;2;MATEMATICA;290,3
1;1;Rede Estadual;5;507;PARDINHO;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;269,1
1;1;Rede Estadual;5;507;PARDINHO;EM-3ª série;9;GERAL;2;MATEMATICA;270
1;1;Rede Estadual;5;508;PARANAPUA;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;260,9
1;1;Rede Estadual;5;508;PARANAPUA;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;264,6
1;1;Rede Estadual;5;508;PARANAPUA;9º Ano EF;9;GERAL;2;MATEMATICA;285
1;1;Rede Estadual;5;508;PARANAPUA;EM-3ª série;9;GERAL;2;MATEMATICA;274,7
1;1;Rede Estadual;5;509;PARAPUA;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;260,8
1;1;Rede Estadual;5;509;PARAPUA;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;267,3
1;1;Rede Estadual;5;509;PARAPUA;9º Ano EF;9;GERAL;2;MATEMATICA;267,1
1;1;Rede Estadual;5;509;PARAPUA;EM-3ª série;9;GERAL;2;MATEMATICA;265,9
1;1;Rede Estadual;5;510;PARIQUERA-ACU;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;252,6
1;1;Rede Estadual;5;510;PARIQUERA-ACU;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;268,2
1;1;Rede Estadual;5;510;PARIQUERA-ACU;9º Ano EF;9;GERAL;2;MATEMATICA;269,7
1;1;Rede Estadual;5;510;PARIQUERA-ACU;EM-3ª série;9;GERAL;2;MATEMATICA;281,5
1;1;Rede Estadual;5;511;PATROCINIO PAULISTA;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;245,1
1;1;Rede Estadual;5;511;PATROCINIO PAULISTA;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;267,4
1;1;Rede Estadual;5;511;PATROCINIO PAULISTA;9º Ano EF;9;GERAL;2;MATEMATICA;272,4
1;1;Rede Estadual;5;511;PATROCINIO PAULISTA;EM-3ª série;9;GERAL;2;MATEMATICA;283,1
1;1;Rede Estadual;5;512;PAULICEIA;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;236,9
1;1;Rede Estadual;5;512;PAULICEIA;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;250,2
1;1;Rede Estadual;5;512;PAULICEIA;9º Ano EF;9;GERAL;2;MATEMATICA;248,3
1;1;Rede Estadual;5;512;PAULICEIA;EM-3ª série;9;GERAL;2;MATEMATICA;258,3
1;1;Rede Estadual;3;513;PAULINIA;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;252,9
1;1;Rede Estadual;3;513;PAULINIA;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;277,9
1;1;Rede Estadual;3;513;PAULINIA;9º Ano EF;9;GERAL;2;MATEMATICA;274,5
1;1;Rede Estadual;3;513;PAULINIA;EM-3ª série;9;GERAL;2;MATEMATICA;285,9
1;1;Rede Estadual;5;514;PAULO DE FARIA;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;280
1;1;Rede Estadual;5;514;PAULO DE FARIA;EM-3ª série;9;GERAL;2;MATEMATICA;275,9
1;1;Rede Estadual;5;515;PEDERNEIRAS;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;242,2
1;1;Rede Estadual;5;515;PEDERNEIRAS;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;277,3
1;1;Rede Estadual;5;515;PEDERNEIRAS;9º Ano EF;9;GERAL;2;MATEMATICA;256,5
1;1;Rede Estadual;5;515;PEDERNEIRAS;EM-3ª série;9;GERAL;2;MATEMATICA;280,2
1;1;Rede Estadual;5;516;PEDRA BELA;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;275,4
1;1;Rede Estadual;5;516;PEDRA BELA;EM-3ª série;9;GERAL;2;MATEMATICA;290,2
1;1;Rede Estadual;5;517;PEDRANOPOLIS;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;259,8
1;1;Rede Estadual;5;517;PEDRANOPOLIS;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;302,6
1;1;Rede Estadual;5;517;PEDRANOPOLIS;9º Ano EF;9;GERAL;2;MATEMATICA;272,1
1;1;Rede Estadual;5;517;PEDRANOPOLIS;EM-3ª série;9;GERAL;2;MATEMATICA;293,6
1;1;Rede Estadual;5;518;PEDREGULHO;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;232,6
1;1;Rede Estadual;5;518;PEDREGULHO;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;271
1;1;Rede Estadual;5;518;PEDREGULHO;9º Ano EF;9;GERAL;2;MATEMATICA;258
1;1;Rede Estadual;5;518;PEDREGULHO;EM-3ª série;9;GERAL;2;MATEMATICA;283
1;1;Rede Estadual;3;519;PEDREIRA;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;252,4
1;1;Rede Estadual;3;519;PEDREIRA;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;270,1
1;1;Rede Estadual;3;519;PEDREIRA;9º Ano EF;9;GERAL;2;MATEMATICA;272,4
1;1;Rede Estadual;3;519;PEDREIRA;EM-3ª série;9;GERAL;2;MATEMATICA;278,6
1;1;Rede Estadual;5;520;PEDRO DE TOLEDO;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;237,3
1;1;Rede Estadual;5;520;PEDRO DE TOLEDO;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;254,3
1;1;Rede Estadual;5;520;PEDRO DE TOLEDO;9º Ano EF;9;GERAL;2;MATEMATICA;249,8
1;1;Rede Estadual;5;520;PEDRO DE TOLEDO;EM-3ª série;9;GERAL;2;MATEMATICA;268,3
1;1;Rede Estadual;5;521;PENAPOLIS;3º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;211,3
1;1;Rede Estadual;5;521;PENAPOLIS;5º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;239,6
1;1;Rede Estadual;5;521;PENAPOLIS;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;251,4
1;1;Rede Estadual;5;521;PENAPOLIS;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;281,5
1;1;Rede Estadual;5;521;PENAPOLIS;3º Ano EF;9;GERAL;2;MATEMATICA;253,1
1;1;Rede Estadual;5;521;PENAPOLIS;5º Ano EF;9;GERAL;2;MATEMATICA;258,6
1;1;Rede Estadual;5;521;PENAPOLIS;9º Ano EF;9;GERAL;2;MATEMATICA;263,7
1;1;Rede Estadual;5;521;PENAPOLIS;EM-3ª série;9;GERAL;2;MATEMATICA;266,9
1;1;Rede Estadual;5;522;PEREIRA BARRETO;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;260,5
1;1;Rede Estadual;5;522;PEREIRA BARRETO;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;289
1;1;Rede Estadual;5;522;PEREIRA BARRETO;9º Ano EF;9;GERAL;2;MATEMATICA;276,8
1;1;Rede Estadual;5;522;PEREIRA BARRETO;EM-3ª série;9;GERAL;2;MATEMATICA;301,1
1;1;Rede Estadual;5;523;PEREIRAS;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;249,7
1;1;Rede Estadual;5;523;PEREIRAS;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;277,7
1;1;Rede Estadual;5;523;PEREIRAS;9º Ano EF;9;GERAL;2;MATEMATICA;261,9
1;1;Rede Estadual;5;523;PEREIRAS;EM-3ª série;9;GERAL;2;MATEMATICA;279,4
1;1;Rede Estadual;2;524;PERUIBE;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;245,3
1;1;Rede Estadual;2;524;PERUIBE;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;273
1;1;Rede Estadual;2;524;PERUIBE;9º Ano EF;9;GERAL;2;MATEMATICA;258,4
1;1;Rede Estadual;2;524;PERUIBE;EM-3ª série;9;GERAL;2;MATEMATICA;275,6
1;1;Rede Estadual;5;525;PIACATU;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;263,5
1;1;Rede Estadual;5;525;PIACATU;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;284,7
1;1;Rede Estadual;5;525;PIACATU;9º Ano EF;9;GERAL;2;MATEMATICA;289
1;1;Rede Estadual;5;525;PIACATU;EM-3ª série;9;GERAL;2;MATEMATICA;316,4
1;1;Rede Estadual;7;526;PIEDADE;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;255,6
1;1;Rede Estadual;7;526;PIEDADE;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;281,4
1;1;Rede Estadual;7;526;PIEDADE;9º Ano EF;9;GERAL;2;MATEMATICA;268,6
1;1;Rede Estadual;7;526;PIEDADE;EM-3ª série;9;GERAL;2;MATEMATICA;283,6
1;1;Rede Estadual;7;527;PILAR DO SUL;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;261,9
1;1;Rede Estadual;7;527;PILAR DO SUL;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;288,5
1;1;Rede Estadual;7;527;PILAR DO SUL;9º Ano EF;9;GERAL;2;MATEMATICA;282,3
1;1;Rede Estadual;7;527;PILAR DO SUL;EM-3ª série;9;GERAL;2;MATEMATICA;306,7
1;1;Rede Estadual;4;528;PINDAMONHANGABA;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;253,3
1;1;Rede Estadual;4;528;PINDAMONHANGABA;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;286,3
1;1;Rede Estadual;4;528;PINDAMONHANGABA;9º Ano EF;9;GERAL;2;MATEMATICA;269,8
1;1;Rede Estadual;4;528;PINDAMONHANGABA;EM-3ª série;9;GERAL;2;MATEMATICA;291,6
1;1;Rede Estadual;5;529;PINDORAMA;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;244,5
1;1;Rede Estadual;5;529;PINDORAMA;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;300,4
1;1;Rede Estadual;5;529;PINDORAMA;9º Ano EF;9;GERAL;2;MATEMATICA;277,1
1;1;Rede Estadual;5;529;PINDORAMA;EM-3ª série;9;GERAL;2;MATEMATICA;307,8
1;1;Rede Estadual;5;530;ESPIRITO SANTO DO PINHAL;3º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;185,2
1;1;Rede Estadual;5;530;ESPIRITO SANTO DO PINHAL;5º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;210,8
1;1;Rede Estadual;5;530;ESPIRITO SANTO DO PINHAL;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;260,2
1;1;Rede Estadual;5;530;ESPIRITO SANTO DO PINHAL;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;282,7
1;1;Rede Estadual;5;530;ESPIRITO SANTO DO PINHAL;3º Ano EF;9;GERAL;2;MATEMATICA;202
1;1;Rede Estadual;5;530;ESPIRITO SANTO DO PINHAL;5º Ano EF;9;GERAL;2;MATEMATICA;225,1
1;1;Rede Estadual;5;530;ESPIRITO SANTO DO PINHAL;9º Ano EF;9;GERAL;2;MATEMATICA;264,3
1;1;Rede Estadual;5;530;ESPIRITO SANTO DO PINHAL;EM-3ª série;9;GERAL;2;MATEMATICA;286,9
1;1;Rede Estadual;5;531;PINHALZINHO;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;280,2
1;1;Rede Estadual;5;531;PINHALZINHO;EM-3ª série;9;GERAL;2;MATEMATICA;287,3
1;1;Rede Estadual;5;532;PIQUEROBI;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;236,9
1;1;Rede Estadual;5;532;PIQUEROBI;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;269,9
1;1;Rede Estadual;5;532;PIQUEROBI;9º Ano EF;9;GERAL;2;MATEMATICA;252,7
1;1;Rede Estadual;5;532;PIQUEROBI;EM-3ª série;9;GERAL;2;MATEMATICA;287,3
1;1;Rede Estadual;4;533;PIQUETE;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;241,5
1;1;Rede Estadual;4;533;PIQUETE;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;284,1
1;1;Rede Estadual;4;533;PIQUETE;9º Ano EF;9;GERAL;2;MATEMATICA;259,2
1;1;Rede Estadual;4;533;PIQUETE;EM-3ª série;9;GERAL;2;MATEMATICA;277,1
1;1;Rede Estadual;5;534;PIRACAIA;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;249,5
1;1;Rede Estadual;5;534;PIRACAIA;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;284,1
1;1;Rede Estadual;5;534;PIRACAIA;9º Ano EF;9;GERAL;2;MATEMATICA;267,2
1;1;Rede Estadual;5;534;PIRACAIA;EM-3ª série;9;GERAL;2;MATEMATICA;288,8
1;1;Rede Estadual;5;535;PIRACICABA;3º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;203,1
1;1;Rede Estadual;5;535;PIRACICABA;5º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;236,8
1;1;Rede Estadual;5;535;PIRACICABA;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;254,1
1;1;Rede Estadual;5;535;PIRACICABA;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;280,9
1;1;Rede Estadual;5;535;PIRACICABA;3º Ano EF;9;GERAL;2;MATEMATICA;228,2
1;1;Rede Estadual;5;535;PIRACICABA;5º Ano EF;9;GERAL;2;MATEMATICA;256,6
1;1;Rede Estadual;5;535;PIRACICABA;9º Ano EF;9;GERAL;2;MATEMATICA;269,9
1;1;Rede Estadual;5;535;PIRACICABA;EM-3ª série;9;GERAL;2;MATEMATICA;281
1;1;Rede Estadual;5;536;PIRASSUNUNGA;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;256,5
1;1;Rede Estadual;5;536;PIRASSUNUNGA;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;281,2
1;1;Rede Estadual;5;536;PIRASSUNUNGA;9º Ano EF;9;GERAL;2;MATEMATICA;268,5
1;1;Rede Estadual;5;536;PIRASSUNUNGA;EM-3ª série;9;GERAL;2;MATEMATICA;289,3
1;1;Rede Estadual;5;537;PIRAJU;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;250,7
1;1;Rede Estadual;5;537;PIRAJU;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;285,2
1;1;Rede Estadual;5;537;PIRAJU;9º Ano EF;9;GERAL;2;MATEMATICA;273,9
1;1;Rede Estadual;5;537;PIRAJU;EM-3ª série;9;GERAL;2;MATEMATICA;295,6
1;1;Rede Estadual;5;538;PIRAJUI;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;280,7
1;1;Rede Estadual;5;538;PIRAJUI;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;303,7
1;1;Rede Estadual;5;538;PIRAJUI;9º Ano EF;9;GERAL;2;MATEMATICA;351,9
1;1;Rede Estadual;5;538;PIRAJUI;EM-3ª série;9;GERAL;2;MATEMATICA;366,9
1;1;Rede Estadual;5;539;PIRANGI;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;266,7
1;1;Rede Estadual;5;539;PIRANGI;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;279,7
1;1;Rede Estadual;5;539;PIRANGI;9º Ano EF;9;GERAL;2;MATEMATICA;257,6
1;1;Rede Estadual;5;539;PIRANGI;EM-3ª série;9;GERAL;2;MATEMATICA;289,2
1;1;Rede Estadual;1;540;PIRAPORA DO BOM JESUS;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;259
1;1;Rede Estadual;1;540;PIRAPORA DO BOM JESUS;EM-3ª série;9;GERAL;2;MATEMATICA;265,5
1;1;Rede Estadual;5;541;PIRAPOZINHO;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;246,5
1;1;Rede Estadual;5;541;PIRAPOZINHO;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;288,9
1;1;Rede Estadual;5;541;PIRAPOZINHO;9º Ano EF;9;GERAL;2;MATEMATICA;267,6
1;1;Rede Estadual;5;541;PIRAPOZINHO;EM-3ª série;9;GERAL;2;MATEMATICA;298,2
1;1;Rede Estadual;5;542;PIRATININGA;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;235,3
1;1;Rede Estadual;5;542;PIRATININGA;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;267,4
1;1;Rede Estadual;5;542;PIRATININGA;9º Ano EF;9;GERAL;2;MATEMATICA;246
1;1;Rede Estadual;5;542;PIRATININGA;EM-3ª série;9;GERAL;2;MATEMATICA;261,2
1;1;Rede Estadual;6;543;PITANGUEIRAS;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;252,4
1;1;Rede Estadual;6;543;PITANGUEIRAS;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;280,6
1;1;Rede Estadual;6;543;PITANGUEIRAS;9º Ano EF;9;GERAL;2;MATEMATICA;268,5
1;1;Rede Estadual;6;543;PITANGUEIRAS;EM-3ª série;9;GERAL;2;MATEMATICA;284,2
1;1;Rede Estadual;5;544;PLANALTO;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;222,6
1;1;Rede Estadual;5;544;PLANALTO;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;257,5
1;1;Rede Estadual;5;544;PLANALTO;9º Ano EF;9;GERAL;2;MATEMATICA;240,1
1;1;Rede Estadual;5;544;PLANALTO;EM-3ª série;9;GERAL;2;MATEMATICA;260
1;1;Rede Estadual;5;545;PLATINA;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;247,5
1;1;Rede Estadual;5;545;PLATINA;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;265,3
1;1;Rede Estadual;5;545;PLATINA;9º Ano EF;9;GERAL;2;MATEMATICA;257,5
1;1;Rede Estadual;5;545;PLATINA;EM-3ª série;9;GERAL;2;MATEMATICA;266,3
1;1;Rede Estadual;1;546;POA;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;244,6
1;1;Rede Estadual;1;546;POA;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;279,1
1;1;Rede Estadual;1;546;POA;9º Ano EF;9;GERAL;2;MATEMATICA;255,9
1;1;Rede Estadual;1;546;POA;EM-3ª série;9;GERAL;2;MATEMATICA;280,2
1;1;Rede Estadual;5;547;POLONI;3º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;174
1;1;Rede Estadual;5;547;POLONI;5º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;216,8
1;1;Rede Estadual;5;547;POLONI;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;238,2
1;1;Rede Estadual;5;547;POLONI;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;286,2
1;1;Rede Estadual;5;547;POLONI;3º Ano EF;9;GERAL;2;MATEMATICA;198,4
1;1;Rede Estadual;5;547;POLONI;5º Ano EF;9;GERAL;2;MATEMATICA;243,8
1;1;Rede Estadual;5;547;POLONI;9º Ano EF;9;GERAL;2;MATEMATICA;258,2
1;1;Rede Estadual;5;547;POLONI;EM-3ª série;9;GERAL;2;MATEMATICA;284,4
1;1;Rede Estadual;5;548;POMPEIA;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;244,6
1;1;Rede Estadual;5;548;POMPEIA;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;270,5
1;1;Rede Estadual;5;548;POMPEIA;9º Ano EF;9;GERAL;2;MATEMATICA;254,8
1;1;Rede Estadual;5;548;POMPEIA;EM-3ª série;9;GERAL;2;MATEMATICA;273,3
1;1;Rede Estadual;5;549;PONGAI;9º Ano EF;9;GERAL;1;LINGUA PORTUGUESA;248,9
1;1;Rede Estadual;5;549;PONGAI;EM-3ª série;9;GERAL;1;LINGUA PORTUGUESA;264,1
